id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras
93,1,4,0,0,51
94,4,13,1,2,80
95,0,76,5,17,703
96,-5,34,0,10,194
97,2,14,0,2,115
98,-7,31,-6,6,231
99,4,8,5,5,85
100,-8,22,-1,2,165
101,0,1,0,0,28
102,-1,4,1,1,37
103,3,6,0,1,50
104,-2,6,0,2,50
105,6,18,-3,3,118
106,-1,20,0,4,123
107,0,40,1,3,190
108,1,4,0,0,40
109,0,3,-2,2,27
110,4,8,-1,2,132
111,0,8,-1,1,82
112,0,7,-1,1,23
113,4,8,-2,2,59
114,-1,3,0,0,29
115,3,24,1,5,249
116,-2,5,1,1,46
117,9,33,5,9,197
118,-2,54,-4,13,351
119,1,9,-3,4,69
120,-3,9,-1,1,62
121,3,31,0,6,287
122,6,39,0,8,350
123,-1,9,-3,3,108
124,5,19,1,3,155
125,1,8,-1,1,55
126,-1,51,-3,14,401
127,1,43,-4,6,255
128,1,10,-1,2,81
129,-1,13,-3,4,82
130,1,6,1,1,65
131,-1,77,-9,10,606
132,0,6,0,2,79
133,0,17,0,0,89
134,5,32,-1,9,201
135,-1,6,-1,3,44
136,-5,22,-2,6,156
137,2,5,0,0,33
138,2,6,-2,2,63
139,2,33,0,10,200
140,3,12,-3,3,35
141,4,16,0,4,106
142,0,8,-2,3,80
143,5,10,-1,2,103
144,1,5,0,3,73
145,-1,6,-1,1,106
146,1,6,-1,1,42
147,0,9,-4,4,84
148,5,18,3,3,98
149,0,13,1,1,79
150,0,6,0,2,34
151,2,13,1,3,83
152,0,4,0,0,42
153,-5,20,-6,6,147
154,0,1,0,2,18
155,0,16,0,3,107
156,3,18,4,4,129
157,3,10,-6,6,99
158,-1,13,0,4,129
159,1,2,-1,1,30
160,0,15,-1,3,134
161,2,8,-2,2,70
162,0,4,0,2,20
163,2,23,2,2,140
164,0,121,1,21,1108
165,0,4,0,2,20
166,1,6,1,1,63
167,3,15,-1,1,120
168,7,38,1,7,284
169,-17,86,-16,26,647
170,-3,3,-1,1,12
171,-3,45,-3,7,427
172,0,121,1,21,1108
173,-3,45,-3,7,427
174,-1,11,1,1,88
175,-4,13,1,3,111
176,2,18,-3,5,209
177,0,9,3,4,52
178,6,22,3,5,200
179,-3,8,-1,3,98
180,0,3,0,0,38
181,3,27,-2,4,211
182,-1,47,-4,13,342
183,5,24,-4,4,195
184,2,5,1,1,39
185,-7,39,-4,8,203
186,3,26,0,2,211
187,4,22,0,5,230
188,-3,96,3,18,654
189,0,6,-3,3,48
190,-2,9,0,1,69
191,1,26,1,8,179
192,-6,38,-3,7,198
193,2,68,-6,13,456
194,-1,104,-1,14,578
195,4,11,1,1,100
196,0,6,0,2,86
197,1,3,0,0,38
198,4,13,0,3,151
199,7,187,-1,45,1342
200,0,15,-1,4,109
201,3,19,2,11,157
202,0,11,-2,6,138
203,-2,4,-2,2,80
204,0,4,-3,3,83
205,2,21,1,6,109
206,-3,48,4,14,411
207,2,31,-5,8,236
208,2,6,-1,3,37
209,1,9,-2,5,98
210,2,13,1,3,56
211,-1,12,-2,6,134
212,2,10,-2,2,71
213,2,9,1,1,94
214,0,13,-3,6,145
215,0,9,0,0,60
216,3,22,3,8,158
217,0,3,0,0,31
218,-3,12,0,4,100
219,0,12,-3,3,60
220,-2,21,4,6,267
221,8,18,2,5,164
222,13,42,-1,7,449
223,-1,7,1,1,39
224,3,4,2,2,88
225,0,10,2,2,74
226,2,5,1,3,74
227,-2,11,-1,3,85
228,9,56,7,11,397
229,0,19,-1,3,141
230,0,10,1,8,160
231,2,3,0,0,74
232,1,10,0,1,77
233,8,29,2,6,253
234,4,20,0,3,134
235,3,9,1,1,45
236,-3,6,1,1,39
237,2,58,-3,9,558
238,7,37,6,8,243
239,-3,30,-6,8,261
240,0,33,-1,8,268
241,-1,48,-5,9,340
242,0,2,-1,1,65
243,1,14,2,2,80
244,-2,39,-1,7,340
245,-2,18,6,6,175
246,0,0,0,0,15
247,-5,12,-1,3,130
248,2,32,-1,10,466
249,1,8,-1,3,136
250,5,11,1,1,108
251,0,1,0,0,42
252,-8,30,-2,4,195
253,-2,10,1,2,54
254,1,9,-1,1,110
255,4,17,0,2,135
256,8,424,22,58,3154
257,0,8,1,1,49
258,3,5,1,1,47
259,4,14,-4,6,256
260,3,29,1,3,200
261,0,36,-1,8,221
262,-1,3,0,0,77
263,-1,6,1,3,48
264,-9,45,-6,6,364
265,0,17,-3,4,162
266,-1,11,-2,4,144
267,3,8,0,0,35
268,1,6,-2,2,68
269,0,8,-3,5,113
270,2,3,0,0,32
271,-4,25,-4,7,242
272,5,10,0,2,98
273,1,14,2,4,157
274,-2,9,0,0,105
275,-1,11,-4,4,158
276,-1,14,-2,2,132
277,0,1,0,0,24
278,2,11,1,1,130
279,2,29,-1,5,244
280,-3,12,-5,5,147
281,0,4,1,2,78
282,0,22,-4,6,197
283,0,5,-1,2,43
284,-2,55,-2,9,395
285,0,5,-1,1,50
286,-1,9,-1,5,79
287,-1,7,1,3,107
288,1,23,1,3,138
289,2,9,2,2,59
290,-3,29,-2,6,211
291,0,5,0,2,40
292,-1,3,1,1,51
293,1,5,-1,1,73
294,0,5,1,1,31
295,1,24,-1,1,222
296,1,27,-2,3,162
297,2,16,2,4,125
298,3,33,3,7,307
299,-14,73,-5,17,388
300,3,12,-1,1,100
301,0,57,4,6,383
302,-2,26,0,4,251
303,28,190,11,29,1593
304,0,3,0,0,22
305,4,27,0,0,222
306,-3,10,0,3,57
307,0,11,-1,1,74
308,2,19,0,1,227
309,3,15,0,2,74
310,0,43,5,9,335
311,-3,43,-3,10,330
312,4,10,1,1,79
313,-3,7,-1,1,135
314,-2,16,-2,4,135
315,6,38,1,7,315
316,1,10,0,2,129
317,-3,10,-2,2,99
318,-3,32,0,1,302
319,7,14,2,2,113
320,7,48,-8,14,341
